X,Y,kind
0.02476069404722203,-4.511291464682952,location_marker_a
0.029967051782724848,4.49352855395061,location_marker_b
-0.4826331201654188,1.390983721778789,weed
2.0704769561275245,0.8940563271274065,weed
0.7357611563891298,-0.9466264463558867,weed
2.0465017715185634,-1.2825081256821727,weed
-2.148461193596042,1.8577727414022611,weed
-1.9464139813610128,-0.927871081023464,litter
-0.06332658126581014,0.13925792705267748,litter
-1.6362556666109882,0.3277764232087135,litter
-1.211095733008667,1.2866245073983236,litter
1.358333548219282,1.7389698596805,litter
-2.280478764553107,-2.057721277300408,crop
-2.2733260338410277,-1.889202804057839,crop
-2.2821627717644395,-1.1945913272530129,crop
-2.2619232396700895,-1.0853739835721579,crop
-2.2867931846025513,-0.9285945823231978,crop
-2.278227754110025,-0.7344270415037575,crop
-2.270970796655061,-0.5610301229483248,crop
-2.2793649961458917,-0.41335339665062437,crop
-2.2668687849189837,-0.2517993125152764,crop
-2.267394452640868,-0.10118366165418897,crop
-2.2623190155480972,0.03754320108542002,crop
-2.2690788872623173,0.22046683316184074,crop
-2.2689589445385026,0.3960361683595604,crop
-2.272854363062798,0.5468867109637696,crop
-2.2703259378626286,0.7120040851280762,crop
-2.2884930271674344,0.8917111971070371,crop
-2.2680334340847996,1.031015850234949,crop
-2.2841540821675235,1.1799747413591375,crop
-2.2955060157128897,1.3225683121927003,crop
-2.268814722625795,1.4746359378456526,crop
-2.2955624971939366,1.666080189724407,crop
-2.2781012746502034,1.8332050532693256,crop
-2.2841497705269997,1.989020841650235,crop
-1.5286354149893855,-2.0671385052837166,crop
-1.53116282620946,-1.9184702474236583,crop
-1.5067005864484766,-1.8012772397383014,crop
-1.5339377065978532,-1.6008881648975608,crop
-1.5336434804624843,-1.4277718007915514,crop
-1.5397105588408657,-1.2566466978034159,crop
-1.5355915965450018,-0.722460787972407,crop
-1.5350899835801932,-0.5626309827653171,crop
-1.5333322536882819,-0.40280963665798714,crop
-1.5384427592920755,-0.2589747421857009,crop
-1.5382933133703598,-0.08894847618422914,crop
-1.5249079835351427,0.09656054398675877,crop
